Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|Q8NBX0|SCPDL_HUMAN	Q8NBX0	SCPDL_HUMAN	SCCPDH	429	Homo sapiens	Saccharopine dehydrogenase-like oxidoreductase	1:Experimental evidence at protein level	14.69	1.0000	0.9990	6	6	6	7	7	7	2169461	2169461	2169461	13K(304.2072), 14K(304.2072), 6K(304.2072), 8K(304.2072), N-term(304.2072)			141503.7549	382007.7969	117938.7715	38323.6545	114714.2334	18626.6367	9124.8334	7690.9989	15338.2448	49642.0105	59249.1028	129573.0166	212041.0098	46721.0166	34727.4766	32105.5645	143097.5449	92748.9609
sp|Q8NC51|PAIRB_HUMAN	Q8NC51	PAIRB_HUMAN	SERBP1	408	Homo sapiens	Plasminogen activator inhibitor 1 RNA-binding protein	1:Experimental evidence at protein level	27.45	1.0000	0.9990	10	10	10	10	10	10	8763857	8763857	8763857	10C(57.0215), 10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 16K(304.2072), 1K(304.2072), 2K(304.2072), 8K(304.2072), N-term(304.2072)			1463834.3574	874668.8750	274770.5967	81652.7485	51572.0513	30480.2168	21093.8118	18026.6786	28744.6469	43558.6370	46637.3721	69798.3267	116065.9946	38544.6687	44315.2532	27489.2837	85269.5615	93406.7788
sp|Q8NC96|NECP1_HUMAN	Q8NC96	NECP1_HUMAN	NECAP1	275	Homo sapiens	Adaptin ear-binding coat-associated protein 1	1:Experimental evidence at protein level	12.36	1.0000	0.9990	4	4	4	4	4	4	3207304	3207304	3207304	10K(304.2072), 14K(304.2072), 2C(57.0215), 9K(304.2072), N-term(304.2072)			133041.1670	331659.0156	156142.2812	28280.6428	88154.0811	5715.4146	6852.1960	7313.6962	12811.4536	25404.5186	34715.5302	77018.7183	110152.1875	30754.8248	25860.9302	20812.6985	93132.7676	71439.9414
sp|Q8NCB2|CAMKV_HUMAN	Q8NCB2	CAMKV_HUMAN	CAMKV	501	Homo sapiens	CaM kinase-like vesicle-associated protein	2:Experimental evidence at transcript level	14.77	1.0000	0.9990	4	4	4	4	4	4	3112295	3112295	3112295	5C(57.0215), N-term(304.2072)			59694.7822	121045.1055	60336.0957	16082.7454	59815.2920	6224.6646	11515.5237	11041.4077	24036.3430	36427.5112	42153.1929	70950.2637	118411.3574	27429.8289	26642.7273	20899.6262	93897.8262	71394.0283
sp|Q8NFX7|STXB6_HUMAN	Q8NFX7	STXB6_HUMAN	STXBP6	210	Homo sapiens	Syntaxin-binding protein 6	1:Experimental evidence at protein level	11.90	1.0000	0.9990	3	3	3	3	3	3	1964236	1964236	1964236	8K(304.2072), N-term(304.2072)			81213.5879	199347.4961	55709.9062	18767.4543	74942.4453	6909.9104	10028.5463	37797.4661	15955.3997	41996.6367	28744.2046	82068.7129	116095.5254	59090.3184	23299.7085	19982.5916	73498.9180	49172.7451
sp|Q8NFZ8|CADM4_HUMAN	Q8NFZ8	CADM4_HUMAN	CADM4	388	Homo sapiens	Cell adhesion molecule 4	1:Experimental evidence at protein level	27.06	1.0000	0.9990	7	7	7	7	7	7	8008226	8008226	8008226	10K(304.2072), 11K(304.2072), 13C(57.0215), 21K(304.2072), 8C(57.0215), 9C(57.0215), N-term(304.2072)			340873.2930	421270.8066	136144.7754	42585.4578	55221.3843	9877.0715	8420.4633	7512.0740	6222.4663	29024.4211	23062.9558	56926.9565	70267.3340	12945.9047	16881.1344	13934.0137	62972.2378	38807.8721
sp|Q8NHG7|SVIP_HUMAN	Q8NHG7	SVIP_HUMAN	SVIP	77	Homo sapiens	Small VCP/p97-interacting protein	1:Experimental evidence at protein level	44.16	1.0000	0.9990	5	4	5	8	7	8	34540973	25080459	34540973	11K(304.2072), N-term(304.2072)			739972.7598	2633896.5938	546786.2910	286633.4277	156558.3743	52368.3059	69670.6249	33912.2679	60546.0334	97705.1196	99228.0656	128768.2051	251251.6968	58367.6892	182162.5364	82031.0336	210294.2661	212948.6519
sp|Q8TAC9|SCAM5_HUMAN	Q8TAC9	SCAM5_HUMAN	SCAMP5	235	Homo sapiens	Secretory carrier-associated membrane protein 5	1:Experimental evidence at protein level	8.09	1.0000	0.9990	2	2	2	2	2	2	1986705	1986705	1986705	11K(304.2072), 8K(304.2072), N-term(304.2072)			160721.0078	378513.2734	105433.7656	31910.2754	34893.8071	2351.6553	4858.1731	2340.8013	6908.2363	20718.9860	22572.3267	31260.8389	100464.4326	9906.7737	19463.2175	9285.5376	62458.5977	55997.0400
sp|Q8TAM6|ERMIN_HUMAN	Q8TAM6	ERMIN_HUMAN	ERMN	284	Homo sapiens	Ermin	1:Experimental evidence at protein level	35.92	1.0000	0.9990	9	9	9	9	9	9	6826554	6826554	6826554	11K(304.2072), 14K(304.2072), 15K(304.2072), 15M(15.9949), 3K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			636321.1875	1813332.9531	370060.1631	234700.2466	188288.4131	29003.1522	15703.7911	17885.0470	20951.7219	43687.1311	45439.8145	105555.3041	167849.0525	40385.8224	30790.4435	34291.6938	112674.2112	104885.2844
sp|Q8TB36|GDAP1_HUMAN	Q8TB36	GDAP1_HUMAN	GDAP1	358	Homo sapiens	Ganglioside-induced differentiation-associated protein 1	1:Experimental evidence at protein level	16.20	1.0000	0.9990	6	6	6	6	6	6	9172083	9172083	9172083	11K(304.2072), 12K(304.2072), 15K(304.2072), 16K(304.2072), 1K(304.2072), 5K(304.2072), 8K(304.2072), N-term(304.2072)			157170.4043	467854.6074	431757.8291	66055.3789	157119.9775	15523.8640	19387.7676	13891.3445	40846.3884	72467.3545	86550.1348	173816.9834	425475.3760	119589.6016	86026.6260	89651.2588	292854.2773	225627.2266
sp|Q8TBG9|SYNPR_HUMAN	Q8TBG9	SYNPR_HUMAN	SYNPR	265	Homo sapiens	Synaptoporin	1:Experimental evidence at protein level	8.30	1.0000	0.9990	2	2	2	3	3	3	4052260	4052260	4052260	11C(57.0215), 14K(304.2072), 6M(15.9949), 8K(304.2072), N-term(304.2072)			68859.7812	165793.1992	79620.8047	12201.3394	33367.5112	4362.0569	3551.1635	6830.6902	10752.3093	15585.6550	12623.6021	34790.8027	61119.7842	12901.9758	17650.1511	13593.8076	38750.1436	27224.8550
sp|Q8TBM8|DJB14_HUMAN	Q8TBM8	DJB14_HUMAN	DNAJB14	379	Homo sapiens	DnaJ homolog subfamily B member 14	1:Experimental evidence at protein level	5.01	1.0000	0.9990	2	2	2	2	2	2	1329753	1329753	1329753	8K(304.2072), N-term(304.2072)			105824.6133	210006.4766	47519.4238	10343.0105	13857.7712	2810.6292	3305.9296	1103.7817	4171.0808	10243.2363	9922.0522	19293.9399	29673.8857	7056.0737	8026.5692	6359.0658	19992.4795	12900.4116
sp|Q8TCD1|CR032_HUMAN	Q8TCD1	CR032_HUMAN	C18orf32	76	Homo sapiens	UPF0729 protein C18orf32	1:Experimental evidence at protein level	40.79	1.0000	0.9990	4	4	4	4	4	4	2358156	2358156	2358156	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 16C(57.0215), 18K(304.2072), 1K(304.2072), N-term(304.2072)			133928.3770	621558.8555	64650.3867	35246.2932	20966.4653	7380.2136	5381.2241	6351.6493	7670.5289	18557.1311	17698.0537	24739.3264	59446.8730	7413.2913	23183.0951	11485.9171	36172.0879	26751.2556
sp|Q8TCZ2|C99L2_HUMAN	Q8TCZ2	C99L2_HUMAN	CD99L2	262	Homo sapiens	CD99 antigen-like protein 2	1:Experimental evidence at protein level	13.36	1.0000	0.9990	3	3	3	3	3	3	2492821	2492821	2492821	15K(304.2072), 9C(57.0215), N-term(304.2072)			143068.9805	208331.2930	61941.7144	14857.9338	9677.5291	2878.0428	1054.2703	3235.3362	2898.5417	9777.7734	7381.2222	9622.2639	18490.3394	4475.6786	6749.7313	4792.8625	20590.8052	16068.0826
sp|Q8TF74|WIPF2_HUMAN	Q8TF74	WIPF2_HUMAN	WIPF2	440	Homo sapiens	WAS/WASL-interacting protein family member 2	1:Experimental evidence at protein level	23.41	1.0000	0.9990	8	8	8	8	8	8	4788745	4788745	4788745	16K(304.2072), 2K(304.2072), 9K(304.2072), N-term(304.2072)			367049.4463	1492930.0703	247725.1641	108635.1123	91069.5378	27555.7405	19563.0281	34844.3427	22125.4325	109420.8392	73315.8540	152143.6348	162202.5703	44106.4940	68282.0664	32952.2583	131246.8984	105480.2690
sp|Q8WUW1|BRK1_HUMAN	Q8WUW1	BRK1_HUMAN	BRK1	75	Homo sapiens	Protein BRICK1	1:Experimental evidence at protein level	18.67	1.0000	0.9952	2	2	2	2	2	2	3721629	3721629	3721629	7K(304.2072), N-term(304.2072)			280951.9609	495353.1562	170628.0273	31365.6953	49296.4316	23250.5771	11206.6216	7050.4597	13268.2388	31294.4434	28850.5898	44885.4648	101812.6602	17830.7100	31895.3105	19452.2515	69793.8691	55429.4297
sp|Q8WW12|PCNP_HUMAN	Q8WW12	PCNP_HUMAN	PCNP	178	Homo sapiens	PEST proteolytic signal-containing nuclear protein	1:Experimental evidence at protein level	17.42	1.0000	0.9990	2	2	2	2	2	2	1170511	1170511	1170511	12K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), N-term(304.2072)			36847.8594	200693.1094	67296.1738	15591.5186	10349.7207	2281.2804	2605.5364	1327.7495	0.0000	7964.8901	5744.9065	9649.0645	18728.4512	3764.7241	8974.7444	6373.2041	14476.3408	18555.1865
sp|Q8WXD2|SCG3_HUMAN	Q8WXD2	SCG3_HUMAN	SCG3	468	Homo sapiens	Secretogranin-3	1:Experimental evidence at protein level	24.79	1.0000	0.9990	16	16	16	17	17	17	5371543	5371543	5371543	10K(304.2072), 11K(304.2072), 13K(304.2072), 14K(304.2072), 17K(304.2072), 18K(304.2072), 1K(304.2072), 3K(304.2072), 4K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			465497.6377	3125265.2070	990838.6367	226653.9897	133814.7365	29652.4233	38633.2238	26516.8391	49081.1013	99821.7848	107873.7634	126417.8340	307371.5308	42191.0037	88644.3372	46488.0497	172201.3804	190810.5591
sp|Q8WXD9|CSKI1_HUMAN	Q8WXD9	CSKI1_HUMAN	CASKIN1	1431	Homo sapiens	Caskin-1	1:Experimental evidence at protein level	1.26	1.0000	0.9990	2	2	2	2	2	2	403734	403734	403734	10K(304.2072), 8K(304.2072), N-term(304.2072)			47226.1348	163937.5859	24149.3105	10967.8223	10820.2021	3113.3984	1039.2974	3176.8357	0.0000	15068.9624	7764.7971	24118.2139	28892.8428	7380.9263	9080.5066	3963.2629	24544.8887	12675.5078
sp|Q8WXF7|ATLA1_HUMAN	Q8WXF7	ATLA1_HUMAN	ATL1	558	Homo sapiens	Atlastin-1	1:Experimental evidence at protein level	5.02	1.0000	0.9990	3	3	3	3	3	3	2402296	2402296	2402296	10K(304.2072), 9K(304.2072), N-term(304.2072)			80877.1445	208120.5000	55596.2695	18655.1680	73386.1650	6675.9518	6722.5146	7682.3444	12845.3481	27758.4849	38129.1406	71316.6729	113948.7012	25040.7788	31564.1660	21266.9478	139564.5781	76172.1328
sp|Q8WXS5|CCG8_HUMAN	Q8WXS5	CCG8_HUMAN	CACNG8	425	Homo sapiens	Voltage-dependent calcium channel gamma-8 subunit	2:Experimental evidence at transcript level	5.18	1.0000	0.9990	3	3	3	3	3	3	2213497	2213497	2213497	13K(304.2072), 2C(57.0215), 3C(57.0215), 8K(304.2072), N-term(304.2072)			100422.5977	347735.1797	90865.6797	22836.4951	25375.8059	5426.3695	8731.4739	5225.8623	11657.6934	40675.1069	21357.9419	44218.9409	112135.2686	27780.7285	14807.1919	22730.5374	46252.5820	31505.2148
sp|Q92598|HS105_HUMAN	Q92598	HS105_HUMAN	HSPH1	858	Homo sapiens	Heat shock protein 105 kDa	1:Experimental evidence at protein level	6.18	1.0000	0.9990	5	3	5	5	3	5	1147044	917225	1147044	11K(304.2072), 1C(57.0215), 5C(57.0215), 7K(304.2072), N-term(304.2072)			142477.8779	200709.8867	72355.6147	16383.2798	85871.3291	6448.0714	4555.7000	7782.4513	5435.8906	44479.9829	41005.1116	81628.7764	116103.4121	30944.1514	25947.6791	18574.8394	128621.2939	58940.3015
sp|Q92599|SEPT8_HUMAN	Q92599	SEPT8_HUMAN	SEPTIN8	483	Homo sapiens	Septin-8	1:Experimental evidence at protein level	14.08	1.0000	0.9990	7	4	4	11	4	4	10176245	2336406	10176245	16K(304.2072), 2K(304.2072), 9K(304.2072), N-term(304.2072)			167694.8711	189412.8047	79234.3398	26687.5908	102422.6426	14488.8635	11146.2610	9293.8867	11523.3807	32072.9211	51976.3057	92692.6045	114224.6016	22149.8479	21038.8566	14398.5154	113423.4199	67039.5234
sp|Q92623|TTC9A_HUMAN	Q92623	TTC9A_HUMAN	TTC9	222	Homo sapiens	Tetratricopeptide repeat protein 9A	1:Experimental evidence at protein level	18.47	1.0000	0.9990	4	4	4	5	5	5	2338654	2338654	2338654	6C(57.0215), 8K(304.2072), N-term(304.2072)			69964.7695	553577.3203	109978.2549	32346.4160	26847.3181	2127.3124	5077.0291	4589.9669	5490.7109	21542.2064	13282.8658	36605.8103	43864.5083	9774.3892	24901.3508	6813.5759	39572.4399	32450.6934
sp|Q92686|NEUG_HUMAN	Q92686	NEUG_HUMAN	NRGN	78	Homo sapiens	Neurogranin	1:Experimental evidence at protein level	73.08	1.0000	0.9990	4	4	4	5	5	5	85963629	85963629	85963629	11K(304.2072), 1K(304.2072), 32K(304.2072), 3C(57.0215), 4C(57.0215), 9C(57.0215), N-term(304.2072), N-term(42.0106)			349107.6436	1320856.9258	2248617.7773	220041.4683	287206.5928	70779.8320	150976.2925	45135.1288	132501.6855	179102.4297	216000.1880	367684.1040	683780.0420	157162.2610	519379.6104	158511.8740	753593.4512	651799.9404
sp|Q92752|TENR_HUMAN	Q92752	TENR_HUMAN	TNR	1358	Homo sapiens	Tenascin-R	1:Experimental evidence at protein level	4.34	1.0000	0.9990	4	4	4	4	4	4	1500171	1500171	1500171	17K(304.2072), 1C(57.0215), 5C(57.0215), 8K(304.2072), N-term(304.2072)			36113.4502	136997.2461	31925.4277	6641.9407	34158.1455	0.0000	3976.2876	1815.1095	4058.1310	16571.1560	19156.3708	23658.2822	65360.3262	7354.0610	12238.5706	1993.0577	36526.1826	18402.1897
sp|Q92777|SYN2_HUMAN	Q92777	SYN2_HUMAN	SYN2	582	Homo sapiens	Synapsin-2	1:Experimental evidence at protein level	32.13	1.0000	0.9990	14	11	12	18	14	16	8899127	6912922	8899127	10K(304.2072), 13K(304.2072), 14K(304.2072), 21K(304.2072), 27K(304.2072), 2M(15.9949), 31K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			319107.2183	949111.0566	277467.5347	103041.6400	406535.0146	13692.2488	28424.0753	11717.2002	49218.0625	152293.4133	183272.9094	402560.4551	586115.4146	113903.1179	110125.6875	81302.9146	380112.3584	275510.1499
sp|Q92804|RBP56_HUMAN	Q92804	RBP56_HUMAN	TAF15	592	Homo sapiens	TATA-binding protein-associated factor 2N	1:Experimental evidence at protein level	3.72	1.0000	0.9990	2	1	2	3	1	3	262146	     0	262146	14K(304.2072), N-term(304.2072)			129631.6133	195687.6094	68238.5703	13040.8093	7532.1947	1733.2990	3191.1738	2545.4055	2745.9771	6668.1934	6168.7480	10271.5430	17650.8794	2663.7839	4614.2769	3752.9678	11062.1899	7025.2686
sp|Q92823|NRCAM_HUMAN	Q92823	NRCAM_HUMAN	NRCAM	1304	Homo sapiens	Neuronal cell adhesion molecule	1:Experimental evidence at protein level	8.59	1.0000	0.9990	11	11	11	11	11	11	4473385	4473385	4473385	10K(304.2072), 13K(304.2072), 16K(304.2072), 1K(304.2072), 5K(304.2072), 7C(57.0215), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			554978.0020	869169.3711	336226.7285	69321.5508	133949.1244	40468.9379	20835.3773	25536.2046	32799.7415	73313.2322	65938.6716	106965.8816	318992.8994	42946.8518	47340.9570	37761.3911	199757.8726	98651.8135
sp|Q92896|GSLG1_HUMAN	Q92896	GSLG1_HUMAN	GLG1	1179	Homo sapiens	Golgi apparatus protein 1	1:Experimental evidence at protein level	20.36	1.0000	0.9990	26	26	26	27	27	27	11687332	11687332	11687332	11C(57.0215), 14C(57.0215), 14K(304.2072), 15K(304.2072), 16K(304.2072), 1C(57.0215), 2C(57.0215), 2K(304.2072), 3C(57.0215), 5C(57.0215), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			2504711.0703	3323136.3535	690345.4043	235653.8804	270957.7461	81598.3289	50020.4851	49877.0250	55012.9891	149106.3880	156168.6764	280969.5236	396069.3513	112675.1959	143437.8115	65643.5204	273211.8605	186421.7775
sp|Q93050|VPP1_HUMAN	Q93050	VPP1_HUMAN	ATP6V0A1	837	Homo sapiens	V-type proton ATPase 116 kDa subunit a 1	1:Experimental evidence at protein level	15.29	1.0000	0.9990	12	11	12	14	13	14	6710197	6130487	6710197	12K(304.2072), 19K(304.2072), 1K(304.2072), 2C(57.0215), 6C(57.0215), 7M(15.9949), 9K(304.2072), N-term(304.2072)			309885.8359	1332220.5312	296711.6133	147277.1890	201841.9614	50038.6467	25407.7977	30667.6483	23477.5563	146456.3318	135038.3745	218809.3359	635422.6182	61945.0430	81389.6885	36608.2581	248006.4019	147150.5493
sp|Q93077|H2A1C_HUMAN	Q93077	H2A1C_HUMAN	H2AC6	130	Homo sapiens	Histone H2A type 1-C	1:Experimental evidence at protein level	40.77	1.0000	0.9990	6	0	6	6	0	6	17266764	     0	17266764	19K(304.2072), 1K(304.2072), 7K(304.2072), N-term(304.2072)			1539458.2148	1496036.4375	195758.3086	113086.2451	61121.6133	49432.0637	14780.7601	33873.6554	25692.2885	41361.9758	78277.7993	93754.4824	193845.8223	35853.3806	79043.6816	26512.2439	71657.7700	113018.7344
sp|Q969P0|IGSF8_HUMAN	Q969P0	IGSF8_HUMAN	IGSF8	613	Homo sapiens	Immunoglobulin superfamily member 8	1:Experimental evidence at protein level	22.84	1.0000	0.9990	12	12	12	12	12	12	8914351	8914351	8914351	10K(304.2072), 11C(57.0215), 13C(57.0215), 9K(304.2072), N-term(304.2072)			649574.7153	1132621.5098	444303.1548	150741.4956	743236.9551	74203.1527	73106.9880	68237.2523	119105.0715	234795.4551	213717.8872	649506.6328	776381.0713	179202.9152	178623.8672	142081.6815	565032.9980	456979.4238
sp|Q969Q0|RL36L_HUMAN	Q969Q0	RL36L_HUMAN	RPL36AL	106	Homo sapiens	60S ribosomal protein L36a-like	1:Experimental evidence at protein level	33.96	1.0000	0.9990	5	2	5	5	2	5	17049923	9223626	17049923	10K(304.2072), 1C(57.0215), 1K(304.2072), 2K(304.2072), 3C(57.0215), 8C(57.0215), N-term(304.2072)			1289252.3125	1332933.2422	217961.4189	91714.1152	57548.9883	25828.7144	12075.3391	14039.3286	14943.3324	40673.4897	41796.0630	73293.7939	102091.5713	24605.1375	44321.1748	23891.1960	70166.7227	74852.6704
sp|Q96A00|PP14A_HUMAN	Q96A00	PP14A_HUMAN	PPP1R14A	147	Homo sapiens	Protein phosphatase 1 regulatory subunit 14A	1:Experimental evidence at protein level	7.48	1.0000	0.9990	1	1	1	2	2	2	1961447	1961447	1961447	11K(304.2072), N-term(304.2072)			103799.5117	335776.8594	63649.6406	41472.3760	25385.9087	6128.6172	14059.6729	6161.2885	9432.6764	47743.4775	10637.3799	32271.0996	25631.0410	10309.7290	9710.7590	5886.9319	17038.8247	18069.7573
sp|Q96A26|F162A_HUMAN	Q96A26	F162A_HUMAN	FAM162A	154	Homo sapiens	Protein FAM162A	1:Experimental evidence at protein level	25.32	1.0000	0.9990	5	5	5	9	9	9	8882902	8882902	8882902	11K(304.2072), 12K(304.2072), 1K(304.2072), 2K(304.2072), 5K(304.2072), 7M(15.9949), 8K(304.2072), N-term(304.2072)			218992.1094	1896633.2500	472995.3906	138027.5762	101585.3037	20921.1953	26917.6830	20930.2963	35841.5807	67735.3525	65712.5620	112396.2419	234640.0273	62223.4775	85485.0349	57459.4636	130623.0562	113413.4775
sp|Q96AG4|LRC59_HUMAN	Q96AG4	LRC59_HUMAN	LRRC59	307	Homo sapiens	Leucine-rich repeat-containing protein 59	1:Experimental evidence at protein level	24.43	1.0000	0.9990	11	11	11	11	11	11	10615991	10615991	10615991	10K(304.2072), 12K(304.2072), 1K(304.2072), 2K(304.2072), 4K(304.2072), 5C(57.0215), 5K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1564488.7344	1713323.0469	369451.7246	140128.4757	98972.2717	47422.8523	26482.6318	34538.0538	36685.9897	79305.8145	76471.0039	129296.7810	194503.4539	46700.2197	63579.0139	40451.7810	177652.5994	150439.0540
sp|Q96AJ9|VTI1A_HUMAN	Q96AJ9	VTI1A_HUMAN	VTI1A	217	Homo sapiens	Vesicle transport through interaction with t-SNAREs homolog 1A	1:Experimental evidence at protein level	22.12	1.0000	0.9989	6	6	6	6	6	6	6426573	6426573	6426573	3K(304.2072), 6K(304.2072), 8K(304.2072), N-term(304.2072)			346624.5312	768323.7266	264022.4492	61338.5859	65162.7510	16134.9236	35859.0511	18100.3096	41320.2849	46964.1104	68242.1543	82943.4395	100517.2568	79505.6343	47477.8040	24262.6060	94596.5918	141939.4385
sp|Q96BM9|ARL8A_HUMAN	Q96BM9	ARL8A_HUMAN	ARL8A	186	Homo sapiens	ADP-ribosylation factor-like protein 8A	1:Experimental evidence at protein level	22.58	1.0000	0.9990	4	1	4	4	1	4	2106758	273366	2106758	10K(304.2072), 14K(304.2072), 3C(57.0215), 4C(57.0215), 9C(57.0215), 9K(304.2072), N-term(304.2072)			149363.6240	190578.9863	82126.1924	18693.6842	114483.4844	51681.0879	11268.8468	9059.5811	20379.5793	27277.3389	31797.1504	103103.2637	124827.2344	18445.4590	16125.6289	17468.6167	91780.6162	93048.1250
sp|Q96C01|F136A_HUMAN	Q96C01	F136A_HUMAN	FAM136A	138	Homo sapiens	Protein FAM136A	1:Experimental evidence at protein level	57.25	1.0000	0.9990	9	9	9	11	11	11	12895682	12895682	12895682	10K(304.2072), 13K(304.2072), 14K(304.2072), 1C(57.0215), 2K(304.2072), 5C(57.0215), 6C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			310315.0635	3198396.0547	1057179.6367	233963.4233	144894.4878	28708.7501	51490.4103	41537.5482	59535.0743	112196.1986	103344.8169	128370.7461	326430.5752	67340.9745	119261.5737	105871.8352	179095.0303	168245.0449
sp|Q96C19|EFHD2_HUMAN	Q96C19	EFHD2_HUMAN	EFHD2	240	Homo sapiens	EF-hand domain-containing protein D2	1:Experimental evidence at protein level	40.42	1.0000	0.9990	11	10	11	11	10	11	4306789	4306789	4306789	11K(304.2072), 12K(304.2072), 13C(57.0215), 15K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			306904.7905	782056.6445	284960.6836	68957.3038	295105.1631	36653.5189	26539.1195	30189.6672	40955.9670	122612.7705	99185.0173	325653.5107	421170.4434	101441.2603	77709.6133	53736.7583	249368.7930	218257.2686
sp|Q96CT7|CC124_HUMAN	Q96CT7	CC124_HUMAN	CCDC124	223	Homo sapiens	Coiled-coil domain-containing protein 124	1:Experimental evidence at protein level	45.29	1.0000	0.9990	13	13	13	13	13	13	12650674	12650674	12650674	10K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			2259150.6504	2432326.9453	627354.7241	186017.8380	161640.1023	44240.7189	42415.2271	42619.1520	46100.4988	118805.1436	97549.6377	179564.9694	264428.5720	88636.3942	110017.1875	70311.7163	195403.7266	171866.6616
sp|Q96CW1|AP2M1_HUMAN	Q96CW1	AP2M1_HUMAN	AP2M1	435	Homo sapiens	AP-2 complex subunit mu	1:Experimental evidence at protein level	20.23	1.0000	0.9990	10	10	10	10	10	10	13067401	13067401	13067401	10K(304.2072), 13C(57.0215), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			671131.6270	1277633.7031	458031.1826	148922.8044	503811.8164	64862.3795	41282.9525	46907.9301	67592.9622	198122.8931	189833.5713	476699.2871	646532.2920	172515.9756	138287.6306	102257.2314	652464.2676	396937.6255
sp|Q96DA6|TIM14_HUMAN	Q96DA6	TIM14_HUMAN	DNAJC19	116	Homo sapiens	Mitochondrial import inner membrane translocase subunit TIM14	1:Experimental evidence at protein level	43.97	1.0000	0.9990	6	6	6	6	6	6	5372669	5372669	5372669	13K(304.2072), 14K(304.2072), 5K(304.2072), 6M(15.9949), 7K(304.2072), 8K(304.2072), N-term(304.2072)			126023.9280	764284.0977	405302.0566	49718.7271	73396.4731	33546.4019	17051.1477	9559.1471	20532.9397	46748.4043	45246.2988	74082.2622	149541.0439	32813.2041	45737.9094	34675.6235	106580.0474	84569.1472
sp|Q96DD7|SHSA4_HUMAN	Q96DD7	SHSA4_HUMAN	SHISA4	197	Homo sapiens	Protein shisa-4	1:Experimental evidence at protein level	8.63	1.0000	0.9990	2	2	2	2	2	2	3438056	3438056	3438056	2C(57.0215), 8K(304.2072), N-term(304.2072)			118851.8594	128569.5117	44660.7109	13419.8729	8349.3955	3140.7981	2151.8728	1513.7942	4102.3179	10161.1198	4566.0596	12077.5386	14177.0522	4764.6123	8589.4318	4461.1470	12755.4666	13399.2202
sp|Q96E11|RRFM_HUMAN	Q96E11	RRFM_HUMAN	MRRF	262	Homo sapiens	Ribosome-recycling factor, mitochondrial	1:Experimental evidence at protein level	16.03	1.0000	0.9990	3	3	3	3	3	3	1718719	1718719	1718719	2K(304.2072), N-term(304.2072)			44535.7695	304153.8125	66295.8906	18425.0684	12514.8047	6770.0112	3412.8171	2789.1035	4257.3730	13988.8682	8844.1182	16618.9688	24590.9746	6932.1528	6737.6943	4418.7554	18569.1680	14181.7109
sp|Q96E17|RAB3C_HUMAN	Q96E17	RAB3C_HUMAN	RAB3C	227	Homo sapiens	Ras-related protein Rab-3C	1:Experimental evidence at protein level	35.68	1.0000	0.9990	8	4	4	10	4	4	10755735	2860657	10755735	15K(304.2072), 4K(304.2072), 6C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			114356.7832	224620.6348	120376.8271	27082.1375	107563.1240	15334.7891	7867.5754	7584.2131	16175.6045	42023.3506	38880.0112	109846.4297	123098.5918	22962.3159	21822.2051	23166.0229	140302.1270	96030.2236
sp|Q96EY8|MMAB_HUMAN	Q96EY8	MMAB_HUMAN	MMAB	250	Homo sapiens	Corrinoid adenosyltransferase MMAB	1:Experimental evidence at protein level	20.40	1.0000	0.9990	4	4	4	4	4	4	3685408	3685408	3685408	10K(304.2072), 16K(304.2072), 8C(57.0215), N-term(304.2072)			96159.7686	527559.7461	134628.7471	31701.3263	65697.0015	3672.6278	5349.6880	4165.5688	7213.9324	14580.8785	15237.3755	34295.6240	61451.9819	10348.4121	10220.2662	8751.9990	37551.4751	26421.3750
